"Name","Izdatel","Izdanie_series","Price","Count_photo"
"Смерть на Ниле. Death on the Nile","Эксмо-Пресс","Билингва Bestseller",391,2
"Лучшие испанские сказки. Уникальная методика обучения языку В. Ратке","АСТ","Учим испанский, читая классику",312,1
"Bleachers","Dell book",NA,961,NA
"Carrie","Anchor books",NA,772,NA
"The Girl Who Kicked the Hornet's Nest","Vintage books","Vintage Crime",772,NA
"Mini Shopaholic","Dell book",NA,772,NA
"Miss Peregrine's Home For Peculiar Children","RH USA",NA,524,NA
"Norwegian Wood","Vintage books",NA,772,NA
"Shopaholic & Baby","Dell book",NA,772,NA
"Focus. Love. Your World, Your Images","Sterling",NA,1155,NA
"London Minimum","Thames&Hudson",NA,1540,NA
"London Sticker Book","Usborne",NA,724,1
"Pride and Prejudice","Usborne","Young Reading",724,NA
"The Queen Makes a Scene","Usborne","Usborne Very First",724,NA
"The Three Wishes","Usborne","First Reading",616,1
"Trees","Usborne","Usborne Beginners",724,1
"Wild School","Usborne","Very First Reading",724,1
"Post Office","Virgin Publishing",NA,1078,1
"Pulp","Virgin Publishing",NA,971,1
"Desperate Remedies","Wordsworth","Classics",355,NA
"The Good Soldier","Wordsworth","Classics",355,1
"Правоведение","ГЭОТАР-Медиа",NA,1680,NA
"Under the Oceans. Level 4","Ladybird","LbReader4",493,2
"The Three Billy Goats Gruff","Ladybird","FirstFavTales",493,2
"The Three Little Pigs","Ladybird","Touch&Feel",586,2
"Topsy and Tim. Have a Birthday Party","Ladybird","Topsy & Tim",493,2
"Topsy and Tim. Start School","Ladybird","Topsy & Tim",493,2
"What's the Time?","Ladybird","Early Learning",293,1
"Ni d'Eve ni d'Adam","Livre de Poche/LGF",NA,1263,1
"Dear Zoo Little Library","Mac Children Books",NA,724,1
"The Beatles. The Music and the Myth","Oneworld Publications",NA,2926,2
"Around the World in 80 Days","Orion",NA,1078,1
"The Frightened Man","Orion",NA,971,1
"It's The Little Things","Orion",NA,847,NA
"To Cut A Long Story Short","Pan Books",NA,1078,1
"The Legend Of Sleepy Hollow. And Other Stories from the Sketch Book","Penguin Putnam Inc.","SignetClassics",670,NA
"All That Follows","Picador",NA,971,1
"L'accro du shopping attend un bebe","Pocket Books",NA,1263,NA
"Chu's First Day at School","Bloomsbury",NA,971,1
"No Matter What","Bloomsbury",NA,971,1
"No Matter What","Bloomsbury",NA,971,NA
"The Princess Bride","Bloomsbury",NA,1109,1
"The Royal Baby's Big Red Bus Tour of London","Bloomsbury",NA,971,NA
"All Families are Psychotic","Harper Collins UK","Fiction",724,1
"The Giant, O'Brien","Harper Collins UK","Fiction",847,1
"The Taming of the Shrew","Harper Collins UK","Collins Classics",293,NA
"Peppa Pig Peppa's Alphabet Box. 8 alphabet books","Ladybird","Peppa Pig",1710,1
"Peppa's Family and Friends (12-board book set)","Ladybird","Peppa Pig",2742,1
"Snow White and the Seven Dwarfs","Ladybird","Ladybird Tales",370,NA
"Busy Fire Station","Mac Children Books","Busy Books",724,NA
"Busy Sports Day","Mac Children Books","Busy Books",724,2
"The Snail and the Whale Sticker Book","Mac Children Books","Sticker Activity",724,1
"Pippi Longstocking in the South Seas","Oxford","Pippi",832,1
"What Would You Do in Winnie's World?","Oxford","Winnie",971,NA
"Ali Baba and the Forty Thieves","Usborne","Young Reading",724,1
"Beauty and Beast","Usborne","Young Reading",724,1
"Canterbury Tales","Usborne","Сlassics Retold",724,1
"Caterpillars and Butterflies","Usborne","Usborne Beginners",724,1
"Christopher Columbus","Usborne","Young Reading",724,1
