"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2018,201801,"January 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,14514,NA,42172,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,7920,NA,29817,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,11039,NA,30138,NA,NA,0
"HS",2018,201804,"April 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,6096,NA,28507,NA,NA,0
"HS",2018,201805,"May 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,27331,NA,57386,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,13540,NA,26430,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,13500,NA,29298,NA,NA,0
"HS",2018,201810,"October 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,13550,NA,49317,NA,NA,0
"HS",2018,201811,"November 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,12944,NA,25099,NA,NA,0
"HS",2018,201812,"December 2018",4,0,1,"Imports",24,"Angola",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,13575,NA,29699,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,96,NA,1406,NA,NA,0
"HS",2018,201809,"September 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,150,NA,3344,NA,NA,0
"HS",2018,201811,"November 2018",4,0,1,"Imports",31,"Azerbaijan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,100,NA,2326,NA,NA,0
"HS",2018,201810,"October 2018",4,0,1,"Imports",48,"Bahrain",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,27029,NA,44794,NA,NA,0
"HS",2018,201801,"January 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,552,NA,943,NA,NA,0
"HS",2018,201802,"February 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,10608,NA,15190,NA,NA,0
"HS",2018,201803,"March 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,341,NA,2031,NA,NA,0
"HS",2018,201804,"April 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,755,NA,4511,NA,NA,0
"HS",2018,201805,"May 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,659,NA,3465,NA,NA,0
"HS",2018,201806,"June 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,13689,NA,12186,NA,NA,0
"HS",2018,201807,"July 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,1075,NA,658,NA,NA,0
"HS",2018,201808,"August 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,8132,NA,42459,NA,NA,0
"HS",2018,201809,"September 2018",4,0,1,"Imports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",NA,NA,NA,NA,NA,NA,14204,NA,6270,NA,NA,0
