"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Period"
2010,"January 2010","Exports","Australia",201,129,"џэт-рту"
2010,"January 2010","Exports","EU-28",201,547857,"џэт-рту"
2010,"January 2010","Exports","Denmark",201,7200,"џэт-рту"
2010,"January 2010","Exports","France",201,100,"џэт-рту"
2010,"January 2010","Exports","Germany",201,253596,"џэт-рту"
2010,"January 2010","Imports","Kazakhstan",201,3748,"џэт-рту"
2010,"January 2010","Exports","Lithuania",201,191970,"џэт-рту"
2010,"January 2010","Exports","Romania",201,430,"џэт-рту"
2010,"January 2010","Exports","Ukraine",201,23,"џэт-рту"
2010,"January 2010","Exports","Argentina",202,7204730,"џэт-рту"
2010,"January 2010","Exports","Australia",202,482,"џэт-рту"
2010,"January 2010","Exports","Brazil",202,17996125,"џэт-рту"
2010,"January 2010","Exports","EU-28",202,310601,"џэт-рту"
2010,"January 2010","Exports","Bulgaria",202,200,"џэт-рту"
2010,"January 2010","Exports","Canada",202,16100,"џэт-рту"
2010,"January 2010","Exports","Denmark",202,60900,"џэт-рту"
2010,"January 2010","Exports","Germany",202,10000,"џэт-рту"
2010,"January 2010","Exports","Italy",202,200000,"џэт-рту"
2010,"January 2010","Exports","Mexico",202,57,"џэт-рту"
2010,"January 2010","Exports","Rep. of Moldova",202,20806,"џэт-рту"
2010,"January 2010","Exports","Paraguay",202,4044880,"џэт-рту"
2010,"January 2010","Exports","Poland",202,39600,"џэт-рту"
2010,"January 2010","Exports","Ukraine",202,589000,"џэт-рту"
2010,"January 2010","Exports","Uruguay",202,6519618,"џэт-рту"
2010,"January 2010","Exports","Austria",203,65700,"џэт-рту"
2010,"January 2010","Exports","Belgium",203,324704,"џэт-рту"
2010,"January 2010","Exports","Brazil",203,20248191,"џэт-рту"
2010,"January 2010","Imports","EU-28",203,19348,"џэт-рту"
2010,"January 2010","Exports","EU-28",203,10878451,"џэт-рту"
2010,"January 2010","Exports","Bulgaria",203,1200,"џэт-рту"
2010,"January 2010","Exports","Canada",203,4635120,"џэт-рту"
2010,"January 2010","Exports","Denmark",203,3838500,"џэт-рту"
2010,"January 2010","Exports","Estonia",203,38933,"џэт-рту"
2010,"January 2010","Exports","Finland",203,474200,"џэт-рту"
2010,"January 2010","Exports","France",203,1189600,"џэт-рту"
2010,"January 2010","Exports","Germany",203,3831400,"џэт-рту"
2010,"January 2010","Imports","Lithuania",203,19348,"џэт-рту"
2010,"January 2010","Exports","Poland",203,30400,"џэт-рту"
2010,"January 2010","Exports","Spain",203,928300,"џэт-рту"
2010,"January 2010","Exports","Sweden",203,24000,"џэт-рту"
2010,"January 2010","Exports","Ukraine",203,62,"џэт-рту"
2010,"January 2010","Exports","Australia",204,263,"џэт-рту"
2010,"January 2010","Exports","EU-28",204,49,"џэт-рту"
2010,"January 2010","Imports","Kazakhstan",204,2960,"џэт-рту"
2010,"January 2010","Exports","Rep. of Moldova",204,58762,"џэт-рту"
2010,"January 2010","Exports","New Zealand",204,125770,"џэт-рту"
